State,Compound,Year,Units,Quantity
Alabama,"2,4-D",1992,kg,4431.2
Alabama,"2,4-D",1993,kg,5575.1
Alabama,"2,4-D",1994,kg,4256.0
Alabama,"2,4-D",1995,kg,1623.0
Alabama,"2,4-D",1996,kg,3240.8
Alabama,"2,4-D",1997,kg,10479.6
Alabama,"2,4-D",1998,kg,7214.4
Alabama,"2,4-D",1999,kg,5053.2
Alabama,"2,4-D",2000,kg,3381.6
Alabama,"2,4-D",2001,kg,9024.5
Alabama,"2,4-D",2002,kg,3954.6
Alabama,"2,4-D",2003,kg,28985.1
Alabama,"2,4-D",2004,kg,12248.0
Alabama,"2,4-D",2005,kg,8769.9
Alabama,"2,4-D",2006,kg,7946.9
Alabama,"2,4-D",2007,kg,2293.1
Alabama,"2,4-D",2008,kg,27661.2
Alabama,"2,4-D",2009,kg,29512.2
Alabama,"2,4-D",2010,kg,7883.8
Alabama,"2,4-D",2011,kg,23400.6
Alabama,"2,4-D",2012,kg,15194.8
Alabama,"2,4-D",2013,kg,27217.0
Alabama,"2,4-D",2014,kg,20921.2
Alabama,"2,4-D",2015,kg,12829.3
Alabama,"2,4-D",2016,kg,48787.7
Alabama,"2,4-D",2017,kg,29402.4
Alabama,ALACHLOR,1992,kg,11679.9
Alabama,ALACHLOR,1993,kg,29021.4
Alabama,ALACHLOR,1994,kg,7624.9
Alabama,ALACHLOR,1995,kg,45625.8
Alabama,ALACHLOR,1996,kg,4733.8
Alabama,ALACHLOR,1997,kg,9787.2
Alabama,ALACHLOR,1998,kg,7049.3
Alabama,ALACHLOR,1999,kg,6932.5
Alabama,ALACHLOR,2000,kg,17716.1
Alabama,ALACHLOR,2001,kg,11074.7
Alabama,ALACHLOR,2002,kg,22389.1
Alabama,ALACHLOR,2003,kg,28673.4
Alabama,ALACHLOR,2004,kg,11039.2
Alabama,ALACHLOR,2005,kg,23044.2
Alabama,ALACHLOR,2006,kg,11623.3
Alabama,ALACHLOR,2007,kg,24233.3
Alabama,ALACHLOR,2008,kg,11259.9
Alabama,ALACHLOR,2009,kg,18654.3
Alabama,ALACHLOR,2010,kg,15388.6
Alabama,ALACHLOR,2011,kg,17295.2
Alabama,ALACHLOR,2012,kg,10991.8
Alabama,ALACHLOR,2013,kg,20674.5
Alabama,ALACHLOR,2014,kg,0.0
Alabama,ALACHLOR,2017,kg,0.0
Alabama,ATRAZINE,1992,kg,200688.0
Alabama,ATRAZINE,1993,kg,220989.1
Alabama,ATRAZINE,1994,kg,189119.3
Alabama,ATRAZINE,1995,kg,174749.4
Alabama,ATRAZINE,1996,kg,236082.7
Alabama,ATRAZINE,1997,kg,161657.2
Alabama,ATRAZINE,1998,kg,225563.8
Alabama,ATRAZINE,1999,kg,128699.1
Alabama,ATRAZINE,2000,kg,139852.7
Alabama,ATRAZINE,2001,kg,116553.7
Alabama,ATRAZINE,2002,kg,148114.1
Alabama,ATRAZINE,2003,kg,168837.2
Alabama,ATRAZINE,2004,kg,182914.9
Alabama,ATRAZINE,2005,kg,114342.8
Alabama,ATRAZINE,2006,kg,88872.0
Alabama,ATRAZINE,2007,kg,226211.2
Alabama,ATRAZINE,2008,kg,213910.6
Alabama,ATRAZINE,2009,kg,157727.3
Alabama,ATRAZINE,2010,kg,241358.4
Alabama,ATRAZINE,2011,kg,197177.5
Alabama,ATRAZINE,2012,kg,139673.0
Alabama,ATRAZINE,2013,kg,181776.1
Alabama,ATRAZINE,2014,kg,165519.7
Alabama,ATRAZINE,2015,kg,187544.4
Alabama,ATRAZINE,2016,kg,219462.5
Alabama,ATRAZINE,2017,kg,144743.5
Alabama,BROMOXYNIL,1992,kg,441.0
Alabama,BROMOXYNIL,1993,kg,0.0
Alabama,BROMOXYNIL,1994,kg,0.0
Alabama,BROMOXYNIL,1995,kg,0.0
Alabama,BROMOXYNIL,1996,kg,0.0
Alabama,BROMOXYNIL,1997,kg,198.5
Alabama,BROMOXYNIL,1998,kg,123.5
Alabama,BROMOXYNIL,1999,kg,59.4
Alabama,BROMOXYNIL,2000,kg,0.0
Alabama,BROMOXYNIL,2001,kg,0.0
Alabama,BROMOXYNIL,2002,kg,0.0
Alabama,BROMOXYNIL,2014,kg,0.0
Alabama,DICAMBA,1992,kg,1151.7
Alabama,DICAMBA,1993,kg,1346.1
Alabama,DICAMBA,1994,kg,1241.0
Alabama,DICAMBA,1995,kg,4938.4
Alabama,DICAMBA,1996,kg,991.4
Alabama,DICAMBA,1997,kg,6200.5
Alabama,DICAMBA,1998,kg,2862.6
Alabama,DICAMBA,1999,kg,2635.2
Alabama,DICAMBA,2000,kg,655.8
Alabama,DICAMBA,2001,kg,789.5
Alabama,DICAMBA,2002,kg,657.0
