State,Compound,Year,Units,Quantity
Alabama,CLETHODIM,1992,kg,179.6
Alabama,CLETHODIM,1993,kg,400.2
Alabama,CLETHODIM,1994,kg,1432.4
Alabama,CLETHODIM,1995,kg,3686.1
Alabama,CLETHODIM,1996,kg,4422.6
Alabama,CLETHODIM,1997,kg,1633.9
Alabama,CLETHODIM,1998,kg,3357.3
Alabama,CLETHODIM,1999,kg,957.0
Alabama,CLETHODIM,2000,kg,350.5
Alabama,CLETHODIM,2001,kg,433.6
Alabama,CLETHODIM,2002,kg,438.1
Alabama,CLETHODIM,2003,kg,821.2
Alabama,CLETHODIM,2004,kg,648.3
Alabama,CLETHODIM,2005,kg,3442.1
Alabama,CLETHODIM,2006,kg,491.8
Alabama,CLETHODIM,2007,kg,1847.9
Alabama,CLETHODIM,2008,kg,153.6
Alabama,CLETHODIM,2009,kg,476.6
Alabama,CLETHODIM,2010,kg,300.3
Alabama,CLETHODIM,2011,kg,288.1
Alabama,CLETHODIM,2012,kg,370.9
Alabama,CLETHODIM,2013,kg,0.0
Alabama,CLETHODIM,2014,kg,0.0
Alabama,CLETHODIM,2015,kg,0.0
Alabama,CLETHODIM,2016,kg,1403.4
Alabama,CLETHODIM,2017,kg,0.0
Alabama,DIURON,1992,kg,14720.6
Alabama,DIURON,1993,kg,3537.5
Alabama,DIURON,1994,kg,11307.2
Alabama,DIURON,1995,kg,13847.6
Alabama,DIURON,1996,kg,14006.7
Alabama,DIURON,1997,kg,18239.5
Alabama,DIURON,1998,kg,8645.4
Alabama,DIURON,1999,kg,22016.6
Alabama,DIURON,2000,kg,11195.1
Alabama,DIURON,2001,kg,16566.6
Alabama,DIURON,2002,kg,20080.7
Alabama,DIURON,2003,kg,37726.9
Alabama,DIURON,2004,kg,36367.0
Alabama,DIURON,2005,kg,24680.3
Alabama,DIURON,2006,kg,18697.6
Alabama,DIURON,2007,kg,6082.7
Alabama,DIURON,2008,kg,6017.9
Alabama,DIURON,2009,kg,2218.8
Alabama,DIURON,2010,kg,4141.5
Alabama,DIURON,2011,kg,21379.0
Alabama,DIURON,2012,kg,5817.1
Alabama,DIURON,2013,kg,11015.9
Alabama,DIURON,2014,kg,6587.1
Alabama,DIURON,2015,kg,19133.6
Alabama,DIURON,2016,kg,9367.1
Alabama,DIURON,2017,kg,20646.6
Alabama,FLUMIOXAZIN,2001,kg,0.0
Alabama,FLUMIOXAZIN,2002,kg,1167.5
Alabama,FLUMIOXAZIN,2003,kg,733.8
Alabama,FLUMIOXAZIN,2004,kg,3531.8
Alabama,FLUMIOXAZIN,2005,kg,384.8
Alabama,FLUMIOXAZIN,2006,kg,553.6
Alabama,FLUMIOXAZIN,2007,kg,1010.3
Alabama,FLUMIOXAZIN,2008,kg,93.7
Alabama,FLUMIOXAZIN,2009,kg,4050.7
Alabama,FLUMIOXAZIN,2010,kg,4305.9
Alabama,FLUMIOXAZIN,2011,kg,3488.0
Alabama,FLUMIOXAZIN,2012,kg,6907.9
Alabama,FLUMIOXAZIN,2013,kg,1266.9
Alabama,FLUMIOXAZIN,2014,kg,1283.8
Alabama,FLUMIOXAZIN,2015,kg,4495.8
Alabama,FLUMIOXAZIN,2016,kg,3044.9
Alabama,FLUMIOXAZIN,2017,kg,2847.6
Alabama,GLUFOSINATE,1997,kg,0.0
Alabama,GLUFOSINATE,1998,kg,0.0
Alabama,GLUFOSINATE,1999,kg,0.0
Alabama,GLUFOSINATE,2000,kg,0.0
Alabama,GLUFOSINATE,2001,kg,0.0
Alabama,GLUFOSINATE,2002,kg,0.0
Alabama,GLUFOSINATE,2003,kg,0.0
Alabama,GLUFOSINATE,2004,kg,5776.9
Alabama,GLUFOSINATE,2005,kg,21294.0
Alabama,GLUFOSINATE,2006,kg,4425.0
Alabama,GLUFOSINATE,2007,kg,543.7
Alabama,GLUFOSINATE,2008,kg,678.8
Alabama,GLUFOSINATE,2009,kg,1110.7
Alabama,GLUFOSINATE,2010,kg,13545.1
Alabama,GLUFOSINATE,2011,kg,5301.0
Alabama,GLUFOSINATE,2012,kg,12425.2
Alabama,GLUFOSINATE,2013,kg,5163.9
Alabama,GLUFOSINATE,2014,kg,29255.7
Alabama,GLUFOSINATE,2015,kg,37589.1
Alabama,GLUFOSINATE,2016,kg,33613.1
Alabama,GLUFOSINATE,2017,kg,10292.2
Alabama,GLYPHOSATE,1992,kg,14089.4
Alabama,GLYPHOSATE,1993,kg,14438.9
Alabama,GLYPHOSATE,1994,kg,20223.3
Alabama,GLYPHOSATE,1995,kg,17133.1
Alabama,GLYPHOSATE,1996,kg,45918.6
Alabama,GLYPHOSATE,1997,kg,73457.8
Alabama,GLYPHOSATE,1998,kg,120414.3
Alabama,GLYPHOSATE,1999,kg,277588.8
Alabama,GLYPHOSATE,2000,kg,349064.6
Alabama,GLYPHOSATE,2001,kg,408891.1
Alabama,GLYPHOSATE,2002,kg,454735.5
Alabama,GLYPHOSATE,2003,kg,370598.9
Alabama,GLYPHOSATE,2004,kg,386417.7
Alabama,GLYPHOSATE,2005,kg,388557.3
Alabama,GLYPHOSATE,2006,kg,465340.8
Alabama,GLYPHOSATE,2007,kg,309208.5
Alabama,GLYPHOSATE,2008,kg,266873.6
Alabama,GLYPHOSATE,2009,kg,203580.7
Alabama,GLYPHOSATE,2010,kg,382289.5
Alabama,GLYPHOSATE,2011,kg,385760.0
Alabama,GLYPHOSATE,2012,kg,437324.1
Alabama,GLYPHOSATE,2013,kg,417907.1
Alabama,GLYPHOSATE,2014,kg,435234.8
Alabama,GLYPHOSATE,2015,kg,306870.2
Alabama,GLYPHOSATE,2016,kg,244645.4
Alabama,GLYPHOSATE,2017,kg,316525.9
Alabama,OXYFLUORFEN,1992,kg,111.2
Alabama,OXYFLUORFEN,1993,kg,0.0
Alabama,OXYFLUORFEN,1994,kg,799.9
Alabama,OXYFLUORFEN,1995,kg,813.0
Alabama,OXYFLUORFEN,1996,kg,0.0
Alabama,OXYFLUORFEN,1997,kg,0.0
Alabama,OXYFLUORFEN,2001,kg,0.0
Alabama,OXYFLUORFEN,2004,kg,0.0
Alabama,OXYFLUORFEN,2006,kg,0.0
Alabama,OXYFLUORFEN,2007,kg,0.0
Alabama,OXYFLUORFEN,2016,kg,2018.2
Alabama,PARAQUAT,1992,kg,2039.5
Alabama,PARAQUAT,1993,kg,4891.6
Alabama,PARAQUAT,1994,kg,14520.4
Alabama,PARAQUAT,1995,kg,16246.0
Alabama,PARAQUAT,1996,kg,6358.2
Alabama,PARAQUAT,1997,kg,4173.1
Alabama,PARAQUAT,1998,kg,10625.3
Alabama,PARAQUAT,1999,kg,21840.2
Alabama,PARAQUAT,2000,kg,10281.6
Alabama,PARAQUAT,2001,kg,8973.7
Alabama,PARAQUAT,2002,kg,6021.2
Alabama,PARAQUAT,2003,kg,31484.8
Alabama,PARAQUAT,2004,kg,19888.3
Alabama,PARAQUAT,2005,kg,11466.8
Alabama,PARAQUAT,2006,kg,21658.5
Alabama,PARAQUAT,2007,kg,4788.9
Alabama,PARAQUAT,2008,kg,321.2
Alabama,PARAQUAT,2009,kg,12864.9
Alabama,PARAQUAT,2010,kg,11217.1
Alabama,PARAQUAT,2011,kg,28160.0
Alabama,PARAQUAT,2012,kg,18788.0
Alabama,PARAQUAT,2013,kg,17004.7
Alabama,PARAQUAT,2014,kg,18297.4
Alabama,PARAQUAT,2015,kg,13870.2
Alabama,PARAQUAT,2016,kg,16987.2
Alabama,PARAQUAT,2017,kg,45461.0
Alabama,PENDIMETHALIN,1992,kg,54970.0
Alabama,PENDIMETHALIN,1993,kg,39999.9
Alabama,PENDIMETHALIN,1994,kg,56067.2
Alabama,PENDIMETHALIN,1995,kg,62232.5
Alabama,PENDIMETHALIN,1996,kg,64108.5
Alabama,PENDIMETHALIN,1997,kg,52067.9
Alabama,PENDIMETHALIN,1998,kg,64436.1
Alabama,PENDIMETHALIN,1999,kg,40459.4
Alabama,PENDIMETHALIN,2000,kg,49292.7
Alabama,PENDIMETHALIN,2001,kg,26100.7
Alabama,PENDIMETHALIN,2002,kg,43211.0
Alabama,PENDIMETHALIN,2003,kg,56806.3
Alabama,PENDIMETHALIN,2004,kg,46869.2
Alabama,PENDIMETHALIN,2005,kg,28895.4
Alabama,PENDIMETHALIN,2006,kg,26711.9
Alabama,PENDIMETHALIN,2007,kg,23113.2
Alabama,PENDIMETHALIN,2008,kg,34765.6
Alabama,PENDIMETHALIN,2009,kg,23576.1
Alabama,PENDIMETHALIN,2010,kg,29809.9
Alabama,PENDIMETHALIN,2011,kg,6493.2
Alabama,PENDIMETHALIN,2012,kg,28170.1
Alabama,PENDIMETHALIN,2013,kg,13877.9
Alabama,PENDIMETHALIN,2014,kg,68482.9
Alabama,PENDIMETHALIN,2015,kg,79081.4
Alabama,PENDIMETHALIN,2016,kg,73522.1
Alabama,PENDIMETHALIN,2017,kg,56721.9
Alabama,PROMETRYN,1992,kg,10778.6
Alabama,PROMETRYN,1993,kg,30312.3
Alabama,PROMETRYN,1994,kg,14652.8
Alabama,PROMETRYN,1995,kg,36021.7
Alabama,PROMETRYN,1996,kg,15695.5
Alabama,PROMETRYN,1997,kg,40253.6
Alabama,PROMETRYN,1998,kg,15838.1
Alabama,PROMETRYN,1999,kg,18674.3
Alabama,PROMETRYN,2000,kg,10521.8
Alabama,PROMETRYN,2001,kg,31798.2
Alabama,PROMETRYN,2002,kg,27562.4
Alabama,PROMETRYN,2003,kg,27247.0
Alabama,PROMETRYN,2004,kg,13701.5
Alabama,PROMETRYN,2005,kg,19107.2
Alabama,PROMETRYN,2006,kg,20289.9
Alabama,PROMETRYN,2007,kg,10689.3
Alabama,PROMETRYN,2008,kg,12630.6
Alabama,PROMETRYN,2009,kg,16250.3
Alabama,PROMETRYN,2010,kg,16932.2
Alabama,PROMETRYN,2011,kg,117970.1
Alabama,PROMETRYN,2012,kg,22484.2
Alabama,PROMETRYN,2013,kg,19606.7
Alabama,PROMETRYN,2014,kg,27132.7
Alabama,PROMETRYN,2015,kg,18491.1
Alabama,PROMETRYN,2016,kg,20143.1
Alabama,PROMETRYN,2017,kg,14169.3
Alabama,PYRAFLUFEN ETHYL,2003,kg,34.8
Alabama,PYRAFLUFEN ETHYL,2004,kg,61.4
Alabama,PYRAFLUFEN ETHYL,2005,kg,248.9
Alabama,PYRAFLUFEN ETHYL,2006,kg,2.8
Alabama,PYRAFLUFEN ETHYL,2007,kg,70.6
Alabama,PYRAFLUFEN ETHYL,2008,kg,36.5
Alabama,PYRAFLUFEN ETHYL,2009,kg,16.2
Alabama,PYRAFLUFEN ETHYL,2010,kg,12.5
Alabama,PYRAFLUFEN ETHYL,2011,kg,72.8
Alabama,PYRAFLUFEN ETHYL,2012,kg,20.5
Alabama,PYRAFLUFEN ETHYL,2013,kg,26.9
Alabama,PYRAFLUFEN ETHYL,2014,kg,75.1
Alabama,PYRAFLUFEN ETHYL,2015,kg,35.9
Alabama,PYRAFLUFEN ETHYL,2016,kg,25.3
Alabama,PYRAFLUFEN ETHYL,2017,kg,12.7
Alabama,TRIFLURALIN,1992,kg,55724.4
Alabama,TRIFLURALIN,1993,kg,73943.7
Alabama,TRIFLURALIN,1994,kg,96345.1
Alabama,TRIFLURALIN,1995,kg,78990.5
Alabama,TRIFLURALIN,1996,kg,75691.0
Alabama,TRIFLURALIN,1997,kg,77653.2
Alabama,TRIFLURALIN,1998,kg,33972.2
Alabama,TRIFLURALIN,1999,kg,34997.0
Alabama,TRIFLURALIN,2000,kg,33157.5
Alabama,TRIFLURALIN,2001,kg,27975.4
Alabama,TRIFLURALIN,2002,kg,20628.0
Alabama,TRIFLURALIN,2003,kg,24145.7
Alabama,TRIFLURALIN,2004,kg,28114.9
Alabama,TRIFLURALIN,2005,kg,17878.0
Alabama,TRIFLURALIN,2006,kg,27688.7
Alabama,TRIFLURALIN,2007,kg,18636.7
Alabama,TRIFLURALIN,2008,kg,13040.3
Alabama,TRIFLURALIN,2009,kg,7403.0
Alabama,TRIFLURALIN,2010,kg,21575.6
Alabama,TRIFLURALIN,2011,kg,35005.3
Alabama,TRIFLURALIN,2012,kg,4073.6
Alabama,TRIFLURALIN,2013,kg,5392.1
Alabama,TRIFLURALIN,2014,kg,4388.7
Alabama,TRIFLURALIN,2015,kg,11706.9
Alabama,TRIFLURALIN,2016,kg,3396.7
Alabama,TRIFLURALIN,2017,kg,21113.3
Arizona,CLETHODIM,1994,kg,304.3
Arizona,CLETHODIM,1995,kg,5668.6
