State,Compound,Year,Units,Quantity
Alabama,CARFENTRAZONE-ETHYL,2000,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2001,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2002,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2003,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2004,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2005,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2006,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2007,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2008,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2009,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2010,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2011,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2012,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2013,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2014,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2015,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2016,kg,0.0
Alabama,CARFENTRAZONE-ETHYL,2017,kg,0.0
Alabama,CLOMAZONE,1992,kg,0.0
Alabama,CLOMAZONE,1993,kg,0.0
Alabama,CLOMAZONE,1994,kg,0.0
Alabama,CLOMAZONE,1995,kg,0.0
Alabama,CLOMAZONE,1996,kg,0.0
Alabama,CLOMAZONE,1997,kg,0.0
Alabama,CLOMAZONE,1998,kg,0.0
Alabama,CLOMAZONE,1999,kg,0.0
Alabama,CLOMAZONE,2000,kg,0.0
Alabama,CLOMAZONE,2001,kg,0.0
Alabama,CLOMAZONE,2002,kg,0.0
Alabama,CLOMAZONE,2003,kg,0.0
Alabama,CLOMAZONE,2004,kg,0.0
Alabama,CLOMAZONE,2005,kg,0.0
Alabama,CLOMAZONE,2006,kg,0.0
Alabama,CLOMAZONE,2007,kg,0.0
Alabama,CLOMAZONE,2008,kg,0.0
Alabama,CLOMAZONE,2009,kg,0.0
Alabama,CLOMAZONE,2010,kg,0.0
Alabama,CLOMAZONE,2011,kg,0.0
Alabama,CLOMAZONE,2012,kg,0.0
Alabama,CLOMAZONE,2013,kg,0.0
Alabama,CLOMAZONE,2014,kg,0.0
Alabama,CLOMAZONE,2015,kg,0.0
Alabama,CLOMAZONE,2016,kg,0.0
Alabama,CLOMAZONE,2017,kg,0.0
Alabama,HALOSULFURON,1995,kg,0.0
Alabama,HALOSULFURON,1996,kg,0.0
Alabama,HALOSULFURON,1997,kg,0.0
Alabama,HALOSULFURON,1998,kg,0.0
Alabama,HALOSULFURON,1999,kg,0.0
Alabama,HALOSULFURON,2000,kg,0.0
Alabama,HALOSULFURON,2001,kg,0.0
Alabama,HALOSULFURON,2002,kg,0.0
Alabama,HALOSULFURON,2003,kg,0.0
Alabama,HALOSULFURON,2004,kg,0.0
Alabama,HALOSULFURON,2005,kg,0.0
Alabama,HALOSULFURON,2006,kg,0.0
Alabama,HALOSULFURON,2007,kg,0.0
Alabama,HALOSULFURON,2008,kg,0.0
Alabama,HALOSULFURON,2009,kg,0.0
Alabama,HALOSULFURON,2010,kg,0.0
Alabama,HALOSULFURON,2011,kg,0.0
Alabama,HALOSULFURON,2012,kg,0.0
Alabama,HALOSULFURON,2013,kg,0.0
Alabama,HALOSULFURON,2014,kg,0.0
Alabama,HALOSULFURON,2015,kg,0.0
Alabama,HALOSULFURON,2016,kg,0.0
Alabama,HALOSULFURON,2017,kg,0.0
Alabama,PENDIMETHALIN,1992,kg,0.0
Alabama,PENDIMETHALIN,1993,kg,0.0
Alabama,PENDIMETHALIN,1994,kg,0.0
Alabama,PENDIMETHALIN,1995,kg,0.0
Alabama,PENDIMETHALIN,1996,kg,0.0
Alabama,PENDIMETHALIN,1997,kg,0.0
Alabama,PENDIMETHALIN,1998,kg,0.0
Alabama,PENDIMETHALIN,1999,kg,0.0
Alabama,PENDIMETHALIN,2000,kg,0.0
Alabama,PENDIMETHALIN,2001,kg,0.0
Alabama,PENDIMETHALIN,2002,kg,0.0
Alabama,PENDIMETHALIN,2003,kg,0.0
Alabama,PENDIMETHALIN,2004,kg,0.0
Alabama,PENDIMETHALIN,2005,kg,0.0
Alabama,PENDIMETHALIN,2006,kg,0.0
Alabama,PENDIMETHALIN,2007,kg,0.0
Alabama,PENDIMETHALIN,2008,kg,0.0
Alabama,PENDIMETHALIN,2009,kg,0.0
Alabama,PENDIMETHALIN,2010,kg,0.0
